quote,author,category
A sens of humor can avoid many misunderstandings.,Alin Sav,intelligence
"Once you eliminate the impossible, whatever remains, no matter how improbable, must be the truth.",Arthur Conan Doyle,"impossible, matter, you "
"If the storm underestimates your power, nothing happens to him; but if you underestimate the power of the storm, you sink!",Mehmet Murat ildan,"power, sink, storm, underestimate"
"Others may write from the head, but he writes from the heart, and the heart will always understand him.","Washington Irving, The Legend of Sleepy Hollow and Other Stories","inspiration, writers, writing"
"To create extraordinary results, you must first have or ReThink an extraordinary Mindset to start.",Tony Dovale,"attitudes, entrepreneurs, happiness, mindset, psycap"
"I believe that all government is evil, and that trying to improve it is largely a waste of time.",H. L. Mencken,"time, evil, believe "
"In times of adversity, you will realize who is there for you. The struggle is real and those who walk with you with love, are honorable true friends. Be thankful for the friends and loved ones you’ve got.",Angie karan,"adversity, angie-karan, friendship, grateful, love"
Few people know so clearly what they want. Most people can't even think what to hope for when they throw a penny in a fountain.,Barbara Kingsolver,"people, want, know "
It’s you and me that matters to me and you.,George R.R. Martin,"love, loyalty, truth"
"Love is the best school, but the tuition is high and the homework can be painful.",Diane Ackerman,"love, school, love is "
Be careful how you treat those who you perceive to be below you. The universe has a way of favoring the underdog.,"Curtis Tyrone Jones, Giants At Play: Finding Wisdom, Courage, And Acceptance To Encounter Your Destiny","inspirational, kindness, life, underdog, universe"
"Such a small, pure object a poem could be, made of nothing but air a tiny string of letters, maybe small enough to fit in the palm of your hand. But it could blow everybody's head off.","Mary Karr, Lit","poem, poetry"
Book sense makes sense because someone has gone through it before and able to share it with you. Your job is to listen and discern.,Germany Kent,"authors, business, experience, faith, inspirational"
"Solitude, the joy of being alone, stems from, as well as promotes, a state of maturity and inner richness.","Neel Burton, Heaven and Hell: The Psychology of the Emotions","emotions, existentialism, loneliness, philosophy, psychology"
"Surround yourself with people who believe in your dreams, encourage your ideas, support your ambitions, and bring out the best in you.",Roy  Bennett,"ambition, ambitions, being-positive, dreams, encouragement"
"If a person do not seek God’s face, all of his merits will be working for evil",Sunday Adelaja,"evil, face, god, merit, person"
"I can't change you and you can't change me, but together we can work to change the world.",Germany Kent,"change, hope, leadership, leadership-development, positive-mind"
Those who lived by the sword were forced to die by it.,"T.H. White, The Once and Future King","humanity, war"
Our identity rests in God's relentless tenderness for us revealed in Jesus Christ.,"Brennan Manning, Abba's Child: The Cry of the Heart for Intimate Belonging","beloved, christianity, gentleness, god, identity"
"Words are very powerful,"" Miss Possibelf said, stepping lightly between the rows of desk. ""And they take on more power the more they're spok","Rainbow Rowell, Fangirl",words
"Meditation is to dive all the way within, beyond thought, to the source of thought and pure consciousness. It enlarges the container, every time you transcend. When you come out, you come out refreshed, filled with energy and enthusiasm for life.",David Lynch,"life, thought, energy "
"Older people shouldn't eat health food, they need all the preservatives they can get.",Robert Orben,"funny, food, people "
Sympathy constitutes friendship  but in love there is a sort of antipathy  or opposing passion. Each strives to be the other  and both together make up one whole.,Samuel Taylor Coleridge,friends
The public history of modern art is the story of conventional people not knowing what they are dealing with.,Golda Meir,"art, people, not knowing "
They were lucky. They'd been given history.,"Kate Atkinson, A God in Ruins",history
"A diminished self-image will cause you to slouch, to avoid meeting others, to avoid looking others in the eye, to be unassertive, and to be indecisive.","Chris Prentiss, The Laws of Love: Creating the Relationship of Your Dreams"," relationships, self-image, self-improvement"
"Everyone helping out was supposed to make me feel better, but it actually made me feel more like a screw up.","Kathy Bryson, Fighting Mad","fairies, fantasy, fighting-mad, humor, leprechauns"
Beliefs are not related to religion but they are basically about who you are.,"Stephen Richards, Think Your way to Success: Let Your Dreams Run Free","abundance-creation, cosmic-ordering, focus, goal-setting, goals"
"Children of God, Children of the light.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","children, christian-living, christian, faith, god"
"Skeptics would rather, even at their own expense, appear to be right than take the risk of trusting.","John Ortberg, Faith and Doubt","faith, god, skeptics, trust"
You will surely be rewarded for every seed of good deed and godliness.,"Sunday Adelaja, The Mountain of Ignorance","danger, darkness, destruction, god, godliness"
I will speak of love until you go mad and join me in my mad worship of love.,Kamand Kojouri,"beloved, harmony, join, kamand-kojouri, love"
Your past history is NOT an excuse.,"Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women","adversity, challenge, courage, empowering, hard-life"
Old age is just a record of one's whole life.,Muhammad Ali,"life, old age, old "
"Education is a chemical reaction between knowledge and the mind; the byproducts are new thoughts, new ideas, new perceptions, and new feelings.",Debasish Mridha,"education, feelings, happiness, hope, ideas"
We must turn from worthless things towards faith in God.,Lailah Gifty Akita,"christian, faith, repentance, vanity, wise-words"
"It is difficult to cultivate a healthy relationship in a landscape overgrown with blame, lack of trust, and betrayal",Saji Ijiyemi,"friendship, love, relationship, relationships, trust"
"If life is a song, and God is the divine conductor, I must consider these trials and troubles as the harmony of my song, for every song needs more than a melody!",Evinda Lepins,"challenges, christ, faith, god, harmony"
Your strength is greater than your struggles.,"Lailah Gifty Akita, Think Great: Be Great!","adversity, encouragement, positive-thinking, self-help, self-love"
"To find it, give the love that you seek.",Debasish Mridha,"buddha, debasish-mridha, gandhi, inspirational, love"
"How much I missed, simply because I was afraid of missing it.","Paulo Coelho, Brida","fear, life, opportunity"
"If she opened the closet with her skeletons, they might drag her in with them.","Kayla Krantz, Alive at Sunset","haunted, history, lie, life, past"
I hate being placed on committees. They are always having meetings at which half are absent and the rest late.,Oliver Wendell Holmes,"professions, work"
"In every endeavour, we need God’s grace.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","christian-life, deeds, faith, god, grace"
We are such stuff as dreams are made on and our little life is rounded with a sleep. ,William Shakespeare,"life, sleep, little "
"Smiles are the dance of our soul,with the music of love, to express the beauty of mind,for the happiness of spirit,and for the joy of the world.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence"
You can't edit a blank page,Nora Roberts,"nora-roberts, writing"
"Peace in my mind,Peace in my heart,Peace in my dreams And peace in my thoughts.",Debasish Mridha,"debasish-mridha, inspirational, peace, peaceful-thoughts, philosophy"
"If you conform, you can never reform.",Debasish Mridha,"conform, conformity, debasish-mridha, philosophy, reform"
"In my youth, the question chiefly important to me was—What sort of man shall I decide to be? At nineteen one asks oneself this question; at thirty-nine we say, “I wish Fate hadn’t made me this sort of man.","Jerome K. Jerome, Second Thoughts Of An Idle Fellow","choice, destiny, fate, growing-up, youth"
